257406274356679,60,25,111,0,0,0
309081616338296,60,21,108,0,0,0
2570905277901393,0,8,159,0,40,62
2843799253836859,0,0,0,0,23,111
3225796639170927,60,25,111,0,0,0
4518233183474396,60,23,111,0,0,0
4647420561423097,60,23,110,0,0,0
5256638191399657,60,23,111,0,0,0
5970103147320386,60,25,111,0,0,0
7234497837508091,60,11,58,0,13,52
8190313151562460,0,0,0,0,23,111
8636530640121278,60,23,111,0,0,0
10698744144787762,60,23,109,0,0,0
10913998916849586,60,23,111,0,0,0
11559715717939685,0,0,0,0,23,110
11670395796048660,0,0,0,0,23,111
11892938598446047,60,11,64,0,11,46
12292291527292130,60,23,110,0,0,0
12554962621156313,60,23,109,0,0,0
12572597046904092,60,23,110,0,0,0
14612117531645091,60,22,109,0,0,0
14830874186554081,60,48,192,0,0,0
14964749219696430,60,25,111,0,0,0
14970930663539276,60,25,112,0,0,0
15554192475044929,0,0,0,0,23,112
15594282037189158,60,23,111,0,0,0
16606301345740600,60,48,221,0,0,0
17985349924445228,60,48,195,0,0,0
18176576077807854,0,10,59,0,13,51
18321116186166234,60,23,110,0,0,0
18505617914966079,60,23,109,0,0,0
18920323356347157,60,23,109,0,0,0
20876078165737550,60,47,210,0,1,10
21324801088409750,60,23,105,0,0,4
22284400831843180,60,27,186,0,20,34
22400430932457551,60,49,221,0,0,0
22714854872571546,0,0,0,0,23,111
23037829828311628,60,45,219,0,2,6
25335725383824630,60,23,111,0,0,0
25356420447065853,0,21,108,0,2,2
26346307409368308,60,45,144,0,4,51
27099145190781701,60,23,111,0,0,0
28172236033614909,0,0,0,0,23,110
28729668599803486,60,23,109,0,0,0
29887996867335920,60,23,109,0,0,0
29934475002789230,60,23,109,0,0,0
29999337652740870,0,0,0,0,25,112
30365063081175560,0,0,0,0,23,109
30674521174433141,60,23,109,0,0,0
33890589481707677,0,16,85,0,6,25
35092047998576550,60,25,111,0,0,0
35720306757042107,0,0,0,0,23,110
36906933682421990,60,23,113,0,0,0
37145286092818866,60,23,111,0,0,0
37470044882853971,60,48,221,0,0,0
37902066963120367,60,25,111,0,0,0
37936032450764521,60,23,113,0,0,0
38128898926494958,60,47,194,0,0,0
38331274599366702,60,26,112,0,0,0
38494670445584126,60,23,111,0,0,0
39139704393055725,0,0,0,0,23,109
40240019127582819,0,9,57,0,14,53
40305274657202790,0,0,11,0,23,99
41103368216673773,0,21,90,0,2,20
42995365272729696,60,23,112,0,0,0
43238966542773561,60,25,114,0,0,0
43648085180404513,0,0,9,0,23,102
43809554671079068,60,50,221,0,0,0
44282494458981725,0,0,0,0,23,110
44457349433151838,0,0,0,0,23,109
47157457861946118,60,23,112,0,0,0
47589556541767641,60,23,109,0,0,0
47789779659473794,60,23,111,0,0,0
51023370911573601,60,23,110,0,0,0
51688007980769524,0,0,0,0,23,111
53349634998912079,0,0,0,0,23,111
54489779683803308,60,25,107,0,0,6
54515546588432327,60,23,111,0,0,0
55151290366655015,60,8,51,0,15,60
55531008172952663,0,0,9,0,25,102
55751279770776956,60,23,111,0,0,0
56010561297809355,60,23,108,0,0,0
56229334079274642,60,25,76,0,0,36
56380181158657935,60,48,197,0,0,0
58390747102684963,0,0,9,0,25,101
